"","X","X.1","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn","sector"
"1",53803,53803,"8975c175-7b81-44ac-adb4-add750eabe38","udenu","enugu","southeast","6.87652066 7.52261278 399.0 5.0","Community Secondary School Ezimo -Umo","junior_and_senior_sec","enugu_udenu",715,"1339759752414.jpg","8975c175-7b81-44ac-adb4-add750eabe38","junior_and_senior_sec","1339759752414.jpg",32,"formal_educ",FALSE,FALSE,6,23,21,0.0194624652455978,FALSE,FALSE,0,1.2201646090535,TRUE,TRUE,269.75,TRUE,0,FALSE,FALSE,FALSE,FALSE,107.9,FALSE,FALSE,FALSE,FALSE,17.6885245901639,12.8452380952381,33.71875,Inf,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"2",53804,53804,"026920d4-d5d1-4c5c-9fff-4ec298529ef5","udenu","enugu","southeast","6.92643995 7.50524413 477.0 5.0","UMUEZEJOR PRI. SCH. 1 Obollo Afor","preprimary_and_primary","enugu_udenu",715,"1339682720161.jpg","026920d4-d5d1-4c5c-9fff-4ec298529ef5","preprimary_and_primary","1339682720161.jpg",16,"formal_educ",FALSE,FALSE,2,13,1592,3.46086956521739,TRUE,FALSE,0,0.862348178137652,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,230,FALSE,FALSE,TRUE,FALSE,57.5,57.5,28.75,Inf,10,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"3",53805,53805,"05543fe0-ecaa-4dfc-998a-c6ab2d9dbd8c","udenu","enugu","southeast","6.85684707 7.52548233 351.20001220703125 5.0","Obinagu promary school Unonagu","preprimary_and_primary","enugu_udenu",715,"1339768954607.jpg","05543fe0-ecaa-4dfc-998a-c6ab2d9dbd8c","preprimary_and_primary","1339768954607.jpg",8,"formal_educ",FALSE,FALSE,6,6,200,1.33333333333333,FALSE,FALSE,0,0.875,FALSE,NA,NA,FALSE,3,FALSE,FALSE,TRUE,FALSE,25,FALSE,FALSE,FALSE,FALSE,30,5,18.75,Inf,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"education"
"4",53806,53806,"14ddc022-9442-4443-9002-cb199aa1cca8","udenu","enugu","southeast","6.86679507 7.5540621 289.0 5.0","Christ the king school Eximo -Agu","primary_junior_and_senior_sec","enugu_udenu",715,"1339756032875.jpg","14ddc022-9442-4443-9002-cb199aa1cca8","primary_junior_and_senior_sec","1339756032875.jpg",13,"formal_educ",TRUE,FALSE,0,0,49,0.0890909090909091,TRUE,FALSE,10,0.833333333333333,FALSE,NA,NA,FALSE,3,TRUE,FALSE,TRUE,FALSE,91.6666666666667,FALSE,FALSE,FALSE,TRUE,Inf,Inf,42.3076923076923,6.5,3,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"education"
"5",53807,53807,"a274610d-3c51-497e-a279-400d77f926b8","udenu","enugu","southeast","6.86554871 7.64145494 260.1000061035156 5.0","Premier Prim. Sch. Odobido-Ada,Obollo-Eke","preprimary_and_primary","enugu_udenu",715,"1339767640347.jpg","a274610d-3c51-497e-a279-400d77f926b8","preprimary_and_primary","1339767640347.jpg",11,"formal_educ",FALSE,FALSE,9,7,31,0.136563876651982,FALSE,FALSE,0,1.06363636363636,FALSE,NA,NA,FALSE,0,FALSE,FALSE,TRUE,FALSE,25.2222222222222,FALSE,FALSE,FALSE,FALSE,Inf,7.82758620689655,20.6363636363636,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"6",53808,53808,"2692129f-2a18-4abb-a6f2-9d2779a4565a","udenu","enugu","southeast","6.88087907 7.4862511 466.29998779296875 5.0","Community Primary School Imilike -Ani","preprimary_and_primary","enugu_udenu",715,"1340017762440.jpg","2692129f-2a18-4abb-a6f2-9d2779a4565a","preprimary_and_primary","1340017762440.jpg",16,"formal_educ",TRUE,FALSE,8,14,474,1.05567928730512,FALSE,FALSE,175,0.870833333333333,FALSE,TRUE,112.25,FALSE,3,FALSE,FALSE,TRUE,FALSE,32.0714285714286,FALSE,FALSE,FALSE,FALSE,26.4117647058824,2.61046511627907,28.0625,Inf,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"7",53809,53809,"34a05103-97dd-49a5-b2a4-84c10f7ae801","udenu","enugu","southeast","6.91806435 7.60328857 282.20001220703125 5.0","Cross River Prim. Sch. Umuitodo, Obollo-Nkwo","preprimary_and_primary","enugu_udenu",715,"1340023577186.jpg","34a05103-97dd-49a5-b2a4-84c10f7ae801","preprimary_and_primary","1340023577186.jpg",7,"formal_educ",TRUE,FALSE,6,7,1004,8.80701754385965,FALSE,TRUE,0,0.80952380952381,TRUE,TRUE,14.25,FALSE,1,FALSE,FALSE,FALSE,FALSE,16.2857142857143,FALSE,FALSE,FALSE,FALSE,11.4,4.07142857142857,16.2857142857143,Inf,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"8",53810,53810,"9b40fe22-0f89-444c-a06c-4bda9c8fcd77","udenu","enugu","southeast","6.84446277 7.68044269 262.0 5.0","Okpalligbo Prim. Sch.","preprimary_and_primary","enugu_udenu",715,"1339841081979.jpg","9b40fe22-0f89-444c-a06c-4bda9c8fcd77","preprimary_and_primary","1339841081979.jpg",8,"formal_educ",FALSE,FALSE,6,8,8,0.0720720720720721,FALSE,FALSE,0,0.88135593220339,TRUE,FALSE,55.5,FALSE,0,FALSE,FALSE,FALSE,FALSE,18.5,FALSE,FALSE,TRUE,FALSE,1,1,13.875,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"9",53811,53811,"9a4338b0-9f5f-40c3-9180-d28b6f10c6d0","udenu","enugu","southeast","6.86325115 7.61177682 259.3999938964844 5.0","Egwu primary school ikeagwu ogbodu ada","preprimary_and_primary","enugu_udenu",715,"1339664355287.jpg","9a4338b0-9f5f-40c3-9180-d28b6f10c6d0","preprimary_and_primary","1339664355287.jpg",6,"formal_educ",FALSE,FALSE,7,5,0,0,FALSE,FALSE,0,0.853658536585366,FALSE,NA,NA,FALSE,0,FALSE,FALSE,TRUE,FALSE,10.8571428571429,FALSE,FALSE,FALSE,FALSE,Inf,Inf,12.6666666666667,Inf,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"10",53812,53812,"3080720a-a631-4522-bbd3-48ce49eb1303","udenu","enugu","southeast","6.89723375 7.60076565 267.3999938964844 5.0","Oleyi Primary School Obollo Etiti","preprimary_and_primary","enugu_udenu",715,"1340019144880.jpg","3080720a-a631-4522-bbd3-48ce49eb1303","preprimary_and_primary","1340019144880.jpg",7,"formal_educ",FALSE,FALSE,6,6,81,1.14084507042254,FALSE,FALSE,0,1.02857142857143,TRUE,FALSE,23.6666666666667,FALSE,0,FALSE,FALSE,FALSE,FALSE,11.8333333333333,FALSE,FALSE,TRUE,FALSE,17.75,17.75,10.1428571428571,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
